Film name,Date,Daily Gross,Gross To Date
Man of Steel,2013-06-13,"$12,062,124 ","$12,062,124 "
Man of Steel,2013-06-14,"$44,013,367 ","$56,075,491 "
Man of Steel,2013-06-15,"$36,315,318 ","$92,390,809 "
Man of Steel,2013-06-16,"$36,290,677 ","$128,681,486 "
Man of Steel,2013-06-17,"$12,585,005 ","$141,266,491 "
Man of Steel,2013-06-18,"$11,511,127 ","$152,777,618 "
Man of Steel,2013-06-19,"$9,002,279 ","$161,779,897 "
Man of Steel,2013-06-20,"$7,011,050 ","$168,790,947 "
Man of Steel,2013-06-21,"$12,547,013 ","$181,337,960 "
Man of Steel,2013-06-22,"$16,211,397 ","$197,549,357 "
Man of Steel,2013-06-23,"$12,528,796 ","$210,078,153 "
Man of Steel,2013-06-24,"$4,537,163 ","$214,615,316 "
Man of Steel,2013-06-25,"$5,197,429 ","$219,812,745 "
Man of Steel,2013-06-26,"$4,112,073 ","$223,924,818 "
Man of Steel,2013-06-27,"$3,915,288 ","$227,840,106 "
Man of Steel,2013-06-28,"$6,008,588 ","$233,848,694 "
Man of Steel,2013-06-29,"$8,363,785 ","$242,212,479 "
Man of Steel,2013-06-30,"$6,365,117 ","$248,577,596 "
Man of Steel,2013-07-01,"$3,044,020 ","$251,621,616 "
Man of Steel,2013-07-02,"$2,784,230 ","$254,405,846 "
Man of Steel,2013-07-03,"$2,353,137 ","$256,758,983 "
Man of Steel,2013-07-04,"$3,015,170 ","$259,774,153 "
Man of Steel,2013-07-05,"$3,906,210 ","$263,680,363 "
Man of Steel,2013-07-06,"$4,259,373 ","$267,939,736 "
Man of Steel,2013-07-07,"$3,248,714 ","$271,188,450 "
Man of Steel,2013-07-08,"$1,273,493 ","$272,461,943 "
Man of Steel,2013-07-09,"$1,468,477 ","$273,930,420 "
Man of Steel,2013-07-10,"$1,228,355 ","$275,158,775 "
Man of Steel,2013-07-11,"$1,011,103 ","$276,169,878 "
Man of Steel,2013-07-12,"$1,363,158 ","$277,533,036 "
Man of Steel,2013-07-13,"$1,944,841 ","$279,477,877 "
Man of Steel,2013-07-14,"$1,411,085 ","$280,888,962 "
Man of Steel,2013-07-15,"$592,243 ","$281,481,205 "
Man of Steel,2013-07-16,"$712,448 ","$282,193,653 "
Man of Steel,2013-07-17,"$542,089 ","$282,735,742 "
Man of Steel,2013-07-18,"$445,345 ","$283,181,087 "
Man of Steel,2013-07-19,"$504,429 ","$283,685,516 "
Man of Steel,2013-07-20,"$744,864 ","$284,430,380 "
Man of Steel,2013-07-21,"$570,094 ","$285,000,474 "
Man of Steel,2013-07-22,"$253,352 ","$285,253,826 "
Man of Steel,2013-07-23,"$321,028 ","$285,574,854 "
Man of Steel,2013-07-24,"$252,156 ","$285,827,010 "
Man of Steel,2013-07-25,"$231,262 ","$286,058,272 "
Man of Steel,2013-07-26,"$213,182 ","$286,271,454 "
Man of Steel,2013-07-27,"$308,478 ","$286,579,932 "
Man of Steel,2013-07-28,"$227,573 ","$286,807,505 "
Man of Steel,2013-07-29,"$104,562 ","$286,912,067 "
Man of Steel,2013-07-30,"$122,010 ","$287,034,077 "
Man of Steel,2013-07-31,"$88,288 ","$287,122,365 "
Man of Steel,2013-08-01,"$92,458 ","$287,214,823 "
Man of Steel,2013-08-02,"$137,861 ","$287,352,684 "
Man of Steel,2013-08-03,"$189,627 ","$287,542,311 "
Man of Steel,2013-08-04,"$139,086 ","$287,681,397 "
Man of Steel,2013-08-05,"$75,106 ","$287,756,503 "
Man of Steel,2013-08-06,"$72,603 ","$287,829,106 "
Man of Steel,2013-08-07,"$50,521 ","$287,879,627 "
Man of Steel,2013-08-08,"$52,036 ","$287,931,663 "
Man of Steel,2013-08-09,"$216,325 ","$288,147,988 "
Man of Steel,2013-08-10,"$298,636 ","$288,446,624 "
Man of Steel,2013-08-11,"$235,346 ","$288,681,970 "
Man of Steel,2013-08-12,"$111,836 ","$288,793,806 "
Man of Steel,2013-08-13,"$129,203 ","$288,923,009 "
Man of Steel,2013-08-14,"$100,778 ","$289,023,787 "
Man of Steel,2013-08-15,"$97,754 ","$289,121,541 "
Man of Steel,2013-08-16,"$145,573 ","$289,267,114 "
Man of Steel,2013-08-17,"$210,980 ","$289,478,094 "
Man of Steel,2013-08-18,"$155,755 ","$289,633,849 "
Man of Steel,2013-08-19,"$60,480 ","$289,694,329 "
Man of Steel,2013-08-20,"$66,528 ","$289,760,857 "
Man of Steel,2013-08-21,"$55,883 ","$289,816,740 "
Man of Steel,2013-08-22,"$59,236 ","$289,875,976 "
Man of Steel,2013-08-23,"$101,726 ","$289,977,702 "
Man of Steel,2013-08-24,"$154,675 ","$290,132,377 "
Man of Steel,2013-08-25,"$97,445 ","$290,229,822 "
Man of Steel,2013-08-26,"$36,054 ","$290,265,876 "
Man of Steel,2013-08-27,"$32,975 ","$290,298,851 "
Man of Steel,2013-08-28,"$29,147 ","$290,327,998 "
Man of Steel,2013-08-29,"$32,084 ","$290,360,082 "
Man of Steel,2013-08-30,"$69,003 ","$290,429,085 "
Man of Steel,2013-08-31,"$110,677 ","$290,539,762 "
Man of Steel,2013-09-01,"$110,514 ","$290,650,276 "
Man of Steel,2013-09-02,"$99,981 ","$290,750,257 "
Man of Steel,2013-09-03,"$19,595 ","$290,769,852 "
Man of Steel,2013-09-04,"$17,831 ","$290,787,683 "
Man of Steel,2013-09-05,"$16,974 ","$290,804,657 "
Man of Steel,2013-09-06,"$31,108 ","$290,835,765 "
Man of Steel,2013-09-07,"$56,070 ","$290,891,835 "
Man of Steel,2013-09-08,"$33,636 ","$290,925,471 "
Man of Steel,2013-09-09,"$7,984 ","$290,933,455 "
Man of Steel,2013-09-10,"$9,101 ","$290,942,556 "
Man of Steel,2013-09-11,"$9,155 ","$290,951,711 "
Man of Steel,2013-09-12,"$8,837 ","$290,960,548 "
Man of Steel,2013-09-13,"$17,555 ","$290,978,103 "
Man of Steel,2013-09-14,"$27,360 ","$291,005,463 "
Man of Steel,2013-09-15,"$16,102 ","$291,021,565 "
Man of Steel,2013-09-16,"$5,732 ","$291,027,297 "
Man of Steel,2013-09-17,"$6,679 ","$291,033,976 "
Man of Steel,2013-09-18,"$5,609 ","$291,039,585 "
Man of Steel,2013-09-19,"$5,933 ","$291,045,518 "
Batman v Superman: Dawn of Justice,2016-03-25,"$81,558,505 ","$81,558,505 "
Batman v Superman: Dawn of Justice,2016-03-26,"$50,657,088 ","$132,215,593 "
Batman v Superman: Dawn of Justice,2016-03-27,"$33,791,754 ","$166,007,347 "
Batman v Superman: Dawn of Justice,2016-03-28,"$15,040,496 ","$181,047,843 "
Batman v Superman: Dawn of Justice,2016-03-29,"$12,180,163 ","$193,228,006 "
Batman v Superman: Dawn of Justice,2016-03-30,"$8,102,420 ","$201,330,426 "
Batman v Superman: Dawn of Justice,2016-03-31,"$7,742,367 ","$209,072,793 "
Batman v Superman: Dawn of Justice,2016-04-01,"$15,014,297 ","$224,087,090 "
Batman v Superman: Dawn of Justice,2016-04-02,"$22,334,278 ","$246,421,368 "
Batman v Superman: Dawn of Justice,2016-04-03,"$13,986,679 ","$260,408,047 "
Batman v Superman: Dawn of Justice,2016-04-04,"$3,192,415 ","$263,600,462 "
Batman v Superman: Dawn of Justice,2016-04-05,"$4,088,296 ","$267,688,758 "
Batman v Superman: Dawn of Justice,2016-04-06,"$2,840,624 ","$270,529,382 "
Batman v Superman: Dawn of Justice,2016-04-07,"$2,721,160 ","$273,250,542 "
Batman v Superman: Dawn of Justice,2016-04-08,"$6,071,601 ","$279,322,143 "
Batman v Superman: Dawn of Justice,2016-04-09,"$10,660,730 ","$289,982,873 "
Batman v Superman: Dawn of Justice,2016-04-10,"$6,630,748 ","$296,613,621 "
Batman v Superman: Dawn of Justice,2016-04-11,"$1,474,602 ","$298,088,223 "
Batman v Superman: Dawn of Justice,2016-04-12,"$1,867,311 ","$299,955,534 "
Batman v Superman: Dawn of Justice,2016-04-13,"$1,245,754 ","$301,201,288 "
Batman v Superman: Dawn of Justice,2016-04-14,"$1,100,442 ","$302,301,730 "
Batman v Superman: Dawn of Justice,2016-04-15,"$2,425,772 ","$304,727,502 "
Batman v Superman: Dawn of Justice,2016-04-16,"$4,082,077 ","$308,809,579 "
Batman v Superman: Dawn of Justice,2016-04-17,"$2,520,507 ","$311,330,086 "
Batman v Superman: Dawn of Justice,2016-04-18,"$650,057 ","$311,980,143 "
Batman v Superman: Dawn of Justice,2016-04-19,"$800,252 ","$312,780,395 "
Batman v Superman: Dawn of Justice,2016-04-20,"$601,091 ","$313,381,486 "
Batman v Superman: Dawn of Justice,2016-04-21,"$600,117 ","$313,981,603 "
Batman v Superman: Dawn of Justice,2016-04-22,"$1,473,012 ","$315,454,615 "
Batman v Superman: Dawn of Justice,2016-04-23,"$2,490,204 ","$317,944,819 "
Batman v Superman: Dawn of Justice,2016-04-24,"$1,538,817 ","$319,483,636 "
Batman v Superman: Dawn of Justice,2016-04-25,"$434,870 ","$319,918,506 "
Batman v Superman: Dawn of Justice,2016-04-26,"$577,298 ","$320,495,804 "
Batman v Superman: Dawn of Justice,2016-04-27,"$421,440 ","$320,917,244 "
Batman v Superman: Dawn of Justice,2016-04-28,"$405,349 ","$321,322,593 "
Batman v Superman: Dawn of Justice,2016-04-29,"$939,574 ","$322,262,167 "
Batman v Superman: Dawn of Justice,2016-04-30,"$1,800,414 ","$324,062,581 "
Batman v Superman: Dawn of Justice,2016-05-01,"$1,129,428 ","$325,192,009 "
Batman v Superman: Dawn of Justice,2016-05-02,"$266,139 ","$325,458,148 "
Batman v Superman: Dawn of Justice,2016-05-03,"$335,335 ","$325,793,483 "
Batman v Superman: Dawn of Justice,2016-05-04,"$261,561 ","$326,055,044 "
Batman v Superman: Dawn of Justice,2016-05-05,"$150,089 ","$326,205,133 "
Batman v Superman: Dawn of Justice,2016-05-06,"$303,532 ","$326,508,665 "
Batman v Superman: Dawn of Justice,2016-05-07,"$457,796 ","$326,966,461 "
Batman v Superman: Dawn of Justice,2016-05-08,"$289,140 ","$327,255,601 "
Batman v Superman: Dawn of Justice,2016-05-09,"$102,922 ","$327,358,523 "
Batman v Superman: Dawn of Justice,2016-05-10,"$125,564 ","$327,484,087 "
Batman v Superman: Dawn of Justice,2016-05-11,"$101,106 ","$327,585,193 "
Batman v Superman: Dawn of Justice,2016-05-12,"$94,050 ","$327,679,243 "
Batman v Superman: Dawn of Justice,2016-05-13,"$138,497 ","$327,817,740 "
Batman v Superman: Dawn of Justice,2016-05-14,"$242,258 ","$328,059,998 "
Batman v Superman: Dawn of Justice,2016-05-15,"$140,058 ","$328,200,056 "
Batman v Superman: Dawn of Justice,2016-05-16,"$52,222 ","$328,252,278 "
Batman v Superman: Dawn of Justice,2016-05-17,"$65,277 ","$328,317,555 "
Batman v Superman: Dawn of Justice,2016-05-18,"$52,221 ","$328,369,776 "
Batman v Superman: Dawn of Justice,2016-05-19,"$47,243 ","$328,417,019 "
Batman v Superman: Dawn of Justice,2016-05-20,"$82,871 ","$328,499,890 "
Batman v Superman: Dawn of Justice,2016-05-21,"$145,024 ","$328,644,914 "
Batman v Superman: Dawn of Justice,2016-05-22,"$82,968 ","$328,727,882 "
Batman v Superman: Dawn of Justice,2016-05-23,"$30,127 ","$328,758,009 "
Batman v Superman: Dawn of Justice,2016-05-24,"$30,428 ","$328,788,437 "
Batman v Superman: Dawn of Justice,2016-05-25,"$29,515 ","$328,817,952 "
Batman v Superman: Dawn of Justice,2016-05-26,"$25,973 ","$328,843,925 "
Batman v Superman: Dawn of Justice,2016-05-27,"$133,496 ","$328,977,421 "
Batman v Superman: Dawn of Justice,2016-05-28,"$201,634 ","$329,179,055 "
Batman v Superman: Dawn of Justice,2016-05-29,"$182,576 ","$329,361,631 "
Batman v Superman: Dawn of Justice,2016-05-30,"$117,687 ","$329,479,318 "
Batman v Superman: Dawn of Justice,2016-05-31,"$48,251 ","$329,527,569 "
Batman v Superman: Dawn of Justice,2016-06-01,"$44,329 ","$329,571,898 "
Batman v Superman: Dawn of Justice,2016-06-02,"$47,875 ","$329,619,773 "
Batman v Superman: Dawn of Justice,2016-06-03,"$79,306 ","$329,699,079 "
Batman v Superman: Dawn of Justice,2016-06-04,"$125,226 ","$329,824,305 "
Batman v Superman: Dawn of Justice,2016-06-05,"$81,646 ","$329,905,951 "
Batman v Superman: Dawn of Justice,2016-06-06,"$35,107 ","$329,941,058 "
Batman v Superman: Dawn of Justice,2016-06-07,"$40,021 ","$329,981,079 "
Batman v Superman: Dawn of Justice,2016-06-08,"$34,818 ","$330,015,897 "
Batman v Superman: Dawn of Justice,2016-06-09,"$39,344 ","$330,055,241 "
Batman v Superman: Dawn of Justice,2016-06-10,"$53,058 ","$330,108,299 "
Batman v Superman: Dawn of Justice,2016-06-11,"$83,883 ","$330,192,182 "
Batman v Superman: Dawn of Justice,2016-06-12,"$56,880 ","$330,249,062 "
Batman v Superman: Dawn of Justice,2016-06-13,"$23,320 ","$330,272,382 "
Batman v Superman: Dawn of Justice,2016-06-14,"$29,620 ","$330,302,002 "
Batman v Superman: Dawn of Justice,2016-06-15,"$29,027 ","$330,331,029 "
Batman v Superman: Dawn of Justice,2016-06-16,"$29,165 ","$330,360,194 "
Suicide Squad,2016-08-05,"$64,893,248 ","$64,893,248 "
Suicide Squad,2016-08-06,"$38,578,832 ","$103,472,080 "
Suicide Squad,2016-08-07,"$30,210,168 ","$133,682,248 "
Suicide Squad,2016-08-08,"$13,143,474 ","$146,825,722 "
Suicide Squad,2016-08-09,"$14,261,461 ","$161,087,183 "
Suicide Squad,2016-08-10,"$9,815,378 ","$170,902,561 "
Suicide Squad,2016-08-11,"$8,202,167 ","$179,104,728 "
Suicide Squad,2016-08-12,"$13,103,794 ","$192,208,522 "
Suicide Squad,2016-08-13,"$17,530,577 ","$209,739,099 "
Suicide Squad,2016-08-14,"$12,901,642 ","$222,640,741 "
Suicide Squad,2016-08-15,"$5,003,280 ","$227,644,021 "
Suicide Squad,2016-08-16,"$6,233,298 ","$233,877,319 "
Suicide Squad,2016-08-17,"$4,125,332 ","$238,002,651 "
Suicide Squad,2016-08-18,"$3,570,684 ","$241,573,335 "
Suicide Squad,2016-08-19,"$6,008,693 ","$247,582,028 "
Suicide Squad,2016-08-20,"$8,646,691 ","$256,228,719 "
Suicide Squad,2016-08-21,"$6,200,017 ","$262,428,736 "
Suicide Squad,2016-08-22,"$2,135,015 ","$264,563,751 "
Suicide Squad,2016-08-23,"$2,691,263 ","$267,255,014 "
Suicide Squad,2016-08-24,"$1,827,395 ","$269,082,409 "
Suicide Squad,2016-08-25,"$1,690,218 ","$270,772,627 "
Suicide Squad,2016-08-26,"$3,309,941 ","$274,082,568 "
Suicide Squad,2016-08-27,"$5,487,910 ","$279,570,478 "
Suicide Squad,2016-08-28,"$3,450,588 ","$283,021,066 "
Suicide Squad,2016-08-29,"$1,061,144 ","$284,082,210 "
Suicide Squad,2016-08-30,"$1,380,335 ","$285,462,545 "
Suicide Squad,2016-08-31,"$954,664 ","$286,417,209 "
Suicide Squad,2016-09-01,"$1,000,107 ","$287,417,316 "
Suicide Squad,2016-09-02,"$2,316,150 ","$289,733,466 "
Suicide Squad,2016-09-03,"$3,830,182 ","$293,563,648 "
Suicide Squad,2016-09-04,"$3,763,924 ","$297,327,572 "
Suicide Squad,2016-09-05,"$2,776,765 ","$300,104,337 "
Suicide Squad,2016-09-06,"$708,166 ","$300,812,503 "
Suicide Squad,2016-09-07,"$500,309 ","$301,312,812 "
Suicide Squad,2016-09-08,"$445,041 ","$301,757,853 "
Suicide Squad,2016-09-09,"$1,451,454 ","$303,209,307 "
Suicide Squad,2016-09-10,"$2,779,675 ","$305,988,982 "
Suicide Squad,2016-09-11,"$1,491,909 ","$307,480,891 "
Suicide Squad,2016-09-12,"$378,625 ","$307,859,516 "
Suicide Squad,2016-09-13,"$504,354 ","$308,363,870 "
Suicide Squad,2016-09-14,"$358,066 ","$308,721,936 "
Suicide Squad,2016-09-15,"$350,396 ","$309,072,332 "
Suicide Squad,2016-09-16,"$1,192,098 ","$310,264,430 "
Suicide Squad,2016-09-17,"$2,257,013 ","$312,521,443 "
Suicide Squad,2016-09-18,"$1,252,723 ","$313,774,166 "
Suicide Squad,2016-09-19,"$305,180 ","$314,079,346 "
Suicide Squad,2016-09-20,"$396,134 ","$314,475,480 "
Suicide Squad,2016-09-21,"$294,665 ","$314,770,145 "
Suicide Squad,2016-09-22,"$253,198 ","$315,023,343 "
Suicide Squad,2016-09-23,"$805,132 ","$315,828,475 "
Suicide Squad,2016-09-24,"$1,492,109 ","$317,320,584 "
Suicide Squad,2016-09-25,"$811,110 ","$318,131,694 "
Suicide Squad,2016-09-26,"$200,102 ","$318,331,796 "
Suicide Squad,2016-09-27,"$253,061 ","$318,584,857 "
Suicide Squad,2016-09-28,"$194,419 ","$318,779,276 "
Suicide Squad,2016-09-29,"$161,353 ","$318,940,629 "
Suicide Squad,2016-09-30,"$490,081 ","$319,430,710 "
Suicide Squad,2016-10-01,"$917,149 ","$320,347,859 "
Suicide Squad,2016-10-02,"$510,053 ","$320,857,912 "
Suicide Squad,2016-10-03,"$162,362 ","$321,020,274 "
Suicide Squad,2016-10-04,"$161,295 ","$321,181,569 "
Suicide Squad,2016-10-05,"$127,230 ","$321,308,799 "
Suicide Squad,2016-10-06,"$115,125 ","$321,423,924 "
Suicide Squad,2016-10-07,"$298,538 ","$321,722,462 "
Suicide Squad,2016-10-08,"$497,827 ","$322,220,289 "
Suicide Squad,2016-10-09,"$327,275 ","$322,547,564 "
Suicide Squad,2016-10-10,"$150,181 ","$322,697,745 "
Suicide Squad,2016-10-11,"$102,410 ","$322,800,155 "
Suicide Squad,2016-10-12,"$91,157 ","$322,891,312 "
Suicide Squad,2016-10-13,"$69,367 ","$322,960,679 "
Suicide Squad,2016-10-14,"$186,196 ","$323,146,875 "
Suicide Squad,2016-10-15,"$333,880 ","$323,480,755 "
Suicide Squad,2016-10-16,"$195,997 ","$323,676,752 "
Suicide Squad,2016-10-17,"$54,980 ","$323,731,732 "
Suicide Squad,2016-10-18,"$57,344 ","$323,789,076 "
Suicide Squad,2016-10-19,"$48,442 ","$323,837,518 "
Suicide Squad,2016-10-20,"$48,445 ","$323,885,963 "
Suicide Squad,2016-10-21,"$105,837 ","$323,991,800 "
Suicide Squad,2016-10-22,"$174,223 ","$324,166,023 "
Suicide Squad,2016-10-23,"$105,151 ","$324,271,174 "
Suicide Squad,2016-10-24,"$31,100 ","$324,302,274 "
Suicide Squad,2016-10-25,"$31,688 ","$324,333,962 "
Suicide Squad,2016-10-26,"$27,168 ","$324,361,130 "
Suicide Squad,2016-10-27,"$29,422 ","$324,390,552 "
Suicide Squad,2016-10-28,"$75,074 ","$324,465,626 "
Suicide Squad,2016-10-29,"$125,701 ","$324,591,327 "
Suicide Squad,2016-10-30,"$81,864 ","$324,673,191 "
Suicide Squad,2016-10-31,"$27,015 ","$324,700,206 "
Suicide Squad,2016-11-01,"$27,876 ","$324,728,082 "
Suicide Squad,2016-11-02,"$24,213 ","$324,752,295 "
Suicide Squad,2016-11-03,"$23,121 ","$324,775,416 "
Suicide Squad,2016-11-04,"$62,830 ","$324,838,246 "
Suicide Squad,2016-11-05,"$118,121 ","$324,956,367 "
Suicide Squad,2016-11-06,"$65,412 ","$325,021,779 "
Suicide Squad,2016-11-07,"$18,114 ","$325,039,893 "
Suicide Squad,2016-11-08,"$21,237 ","$325,061,130 "
Suicide Squad,2016-11-09,"$15,710 ","$325,076,840 "
Suicide Squad,2016-11-10,"$23,214 ","$325,100,054 "
Wonder Woman,2017-06-02,"$38,247,254 ","$38,247,254 "
Wonder Woman,2017-06-03,"$35,253,398 ","$73,500,652 "
Wonder Woman,2017-06-04,"$29,750,819 ","$103,251,471 "
Wonder Woman,2017-06-05,"$11,757,063 ","$115,008,534 "
Wonder Woman,2017-06-06,"$14,342,175 ","$129,350,709 "
Wonder Woman,2017-06-07,"$9,326,011 ","$138,676,720 "
Wonder Woman,2017-06-08,"$9,145,783 ","$147,822,503 "
Wonder Woman,2017-06-09,"$15,701,461 ","$163,523,964 "
Wonder Woman,2017-06-10,"$24,003,287 ","$187,527,251 "
Wonder Woman,2017-06-11,"$18,815,924 ","$206,343,175 "
Wonder Woman,2017-06-12,"$6,266,071 ","$212,609,246 "
Wonder Woman,2017-06-13,"$8,851,388 ","$221,460,634 "
Wonder Woman,2017-06-14,"$6,344,618 ","$227,805,252 "
Wonder Woman,2017-06-15,"$6,021,478 ","$233,826,730 "
Wonder Woman,2017-06-16,"$10,845,317 ","$244,672,047 "
Wonder Woman,2017-06-17,"$15,577,690 ","$260,249,737 "
Wonder Woman,2017-06-18,"$14,845,843 ","$275,095,580 "
Wonder Woman,2017-06-19,"$4,808,414 ","$279,903,994 "
Wonder Woman,2017-06-20,"$5,444,169 ","$285,348,163 "
Wonder Woman,2017-06-21,"$3,848,683 ","$289,196,846 "
Wonder Woman,2017-06-22,"$4,008,312 ","$293,205,158 "
Wonder Woman,2017-06-23,"$7,396,325 ","$300,601,483 "
Wonder Woman,2017-06-24,"$10,046,428 ","$310,647,911 "
