Film name,Date,Daily Gross,Gross To Date
Iron Man,2008-05-01,"$3,500,000","$3,500,000"
Iron Man,2008-05-02,"$35,234,361","$38,734,361"
Iron Man,2008-05-03,"$37,350,099","$76,084,460"
Iron Man,2008-05-04,"$26,034,208","$102,118,668"
Iron Man,2008-05-05,"$6,934,568","$109,053,236"
Iron Man,2008-05-06,"$6,505,784","$115,559,020"
Iron Man,2008-05-07,"$5,747,344","$121,306,364"
Iron Man,2008-05-08,"$5,328,031","$126,634,395"
Iron Man,2008-05-09,"$14,873,192","$141,507,587"
Iron Man,2008-05-10,"$21,374,629","$162,882,216"
Iron Man,2008-05-11,"$14,942,808","$177,825,024"
Iron Man,2008-05-12,"$3,850,844","$181,675,868"
Iron Man,2008-05-13,"$3,357,146","$185,033,014"
Iron Man,2008-05-14,"$3,082,988","$188,116,002"
Iron Man,2008-05-15,"$3,169,387","$191,285,389"
Iron Man,2008-05-16,"$8,659,239","$199,944,628"
Iron Man,2008-05-17,"$13,431,355","$213,375,983"
Iron Man,2008-05-18,"$9,748,402","$223,124,385"
Iron Man,2008-05-19,"$3,072,182","$226,196,567"
Iron Man,2008-05-20,"$2,219,928","$228,416,495"
Iron Man,2008-05-21,"$1,926,258","$230,342,753"
Iron Man,2008-05-22,"$1,824,663","$232,167,416"
Iron Man,2008-05-23,"$5,437,126","$237,604,542"
Iron Man,2008-05-24,"$7,898,842","$245,503,384"
Iron Man,2008-05-25,"$7,111,285","$252,614,669"
Iron Man,2008-05-26,"$5,663,877","$258,278,546"
Iron Man,2008-05-27,"$1,561,073","$259,839,619"
Iron Man,2008-05-28,"$1,395,588","$261,235,207"
Iron Man,2008-05-29,"$1,389,865","$262,625,072"
Iron Man,2008-05-30,"$3,783,237","$266,408,309"
Iron Man,2008-05-31,"$6,068,126","$272,476,435"
Iron Man,2008-06-01,"$3,689,901","$276,166,336"
Iron Man,2008-06-02,"$1,230,719","$277,397,055"
Iron Man,2008-06-03,"$1,336,009","$278,733,064"
Iron Man,2008-06-04,"$1,312,678","$280,045,742"
Iron Man,2008-06-05,"$1,324,459","$281,370,201"
Iron Man,2008-06-06,"$2,187,329","$283,557,530"
Iron Man,2008-06-07,"$3,164,558","$286,722,088"
Iron Man,2008-06-08,"$2,125,552","$288,847,640"
Iron Man,2008-06-09,"$893,971","$289,741,611"
Iron Man,2008-06-10,"$859,778","$290,601,389"
Iron Man,2008-06-11,"$857,937","$291,459,326"
Iron Man,2008-06-12,"$838,628","$292,297,954"
The Incredible Hulk,2008-06-13,"$21,468,125","$21,468,125"
Iron Man,2008-06-13,"$1,466,126","$293,764,080"
The Incredible Hulk,2008-06-14,"$18,383,725","$39,851,850"
Iron Man,2008-06-14,"$2,119,187","$295,883,267"
The Incredible Hulk,2008-06-15,"$15,562,200","$55,414,050"
Iron Man,2008-06-15,"$2,035,062","$297,918,329"
The Incredible Hulk,2008-06-16,"$6,010,405","$61,424,455"
Iron Man,2008-06-16,"$720,888","$298,639,217"
The Incredible Hulk,2008-06-17,"$4,801,850","$66,226,305"
Iron Man,2008-06-17,"$680,253","$299,319,470"
The Incredible Hulk,2008-06-18,"$4,503,925","$70,730,230"
Iron Man,2008-06-18,"$723,320","$300,042,790"
The Incredible Hulk,2008-06-19,"$4,189,140","$74,919,370"
Iron Man,2008-06-19,"$743,079","$300,785,869"
The Incredible Hulk,2008-06-20,"$6,665,335","$81,584,705"
Iron Man,2008-06-20,"$1,130,531","$301,916,400"
The Incredible Hulk,2008-06-21,"$8,559,520","$90,144,225"
Iron Man,2008-06-21,"$1,644,786","$303,561,186"
The Incredible Hulk,2008-06-22,"$6,911,205","$97,055,430"
Iron Man,2008-06-22,"$1,254,955","$304,816,141"
The Incredible Hulk,2008-06-23,"$2,649,125","$99,704,555"
Iron Man,2008-06-23,"$552,947","$305,369,088"
The Incredible Hulk,2008-06-24,"$2,333,405","$102,037,960"
Iron Man,2008-06-24,"$512,328","$305,881,416"
The Incredible Hulk,2008-06-25,"$2,122,340","$104,160,300"
Iron Man,2008-06-25,"$503,165","$306,384,581"
The Incredible Hulk,2008-06-26,"$2,121,665","$106,281,965"
Iron Man,2008-06-26,"$537,624","$306,922,205"
The Incredible Hulk,2008-06-27,"$2,930,375","$109,212,340"
Iron Man,2008-06-27,"$636,953","$307,559,158"
The Incredible Hulk,2008-06-28,"$3,749,985","$112,962,325"
Iron Man,2008-06-28,"$928,651","$308,487,809"
The Incredible Hulk,2008-06-29,"$2,896,885","$115,859,210"
Iron Man,2008-06-29,"$691,509","$309,179,318"
The Incredible Hulk,2008-06-30,"$1,323,125","$117,182,335"
Iron Man,2008-06-30,"$336,907","$309,516,225"
The Incredible Hulk,2008-07-01,"$1,039,225","$118,221,560"
Iron Man,2008-07-01,"$244,176","$309,760,401"
The Incredible Hulk,2008-07-02,"$723,505","$118,945,065"
Iron Man,2008-07-02,"$194,080","$309,954,481"
The Incredible Hulk,2008-07-03,"$997,050","$119,942,115"
Iron Man,2008-07-03,"$294,039","$310,248,520"
The Incredible Hulk,2008-07-04,"$1,262,845","$121,204,960"
Iron Man,2008-07-04,"$405,289","$310,653,809"
The Incredible Hulk,2008-07-05,"$2,114,885","$123,319,845"
Iron Man,2008-07-05,"$627,496","$311,281,305"
The Incredible Hulk,2008-07-06,"$1,521,550","$124,841,395"
Iron Man,2008-07-06,"$426,828","$311,708,133"
The Incredible Hulk,2008-07-07,"$700,225","$125,541,620"
Iron Man,2008-07-07,"$190,671","$311,898,804"
The Incredible Hulk,2008-07-08,"$701,005","$126,242,625"
Iron Man,2008-07-08,"$191,766","$312,090,570"
The Incredible Hulk,2008-07-09,"$699,435","$126,942,060"
Iron Man,2008-07-09,"$193,844","$312,284,414"
The Incredible Hulk,2008-07-10,"$639,030","$127,581,090"
Iron Man,2008-07-10,"$197,477","$312,481,891"
The Incredible Hulk,2008-07-11,"$690,475","$128,271,565"
Iron Man,2008-07-11,"$266,545","$312,748,436"
The Incredible Hulk,2008-07-12,"$943,395","$129,214,960"
Iron Man,2008-07-12,"$393,307","$313,141,743"
The Incredible Hulk,2008-07-13,"$690,475","$129,905,435"
Iron Man,2008-07-13,"$279,282","$313,421,025"
The Incredible Hulk,2008-07-14,"$330,650","$130,236,085"
Iron Man,2008-07-14,"$126,106","$313,547,131"
The Incredible Hulk,2008-07-15,"$319,995","$130,556,080"
Iron Man,2008-07-15,"$124,522","$313,671,653"
The Incredible Hulk,2008-07-16,"$312,125","$130,868,205"
Iron Man,2008-07-16,"$132,915","$313,804,568"
The Incredible Hulk,2008-07-17,"$272,445","$131,140,650"
Iron Man,2008-07-17,"$120,562","$313,925,130"
The Incredible Hulk,2008-07-18,"$196,785","$131,337,435"
Iron Man,2008-07-18,"$141,575","$314,066,705"
The Incredible Hulk,2008-07-19,"$249,280","$131,586,715"
