Film name,Date,Daily Gross,Gross To Date
The Lord of the Rings: The Fellowship of the Ring,2001-12-19,"$18,214,211","$18,214,211"
The Lord of the Rings: The Fellowship of the Ring,2001-12-20,"$9,703,767","$27,917,978"
The Lord of the Rings: The Fellowship of the Ring,2001-12-21,"$14,232,941","$42,150,919"
The Lord of the Rings: The Fellowship of the Ring,2001-12-22,"$17,062,771","$59,213,690"
The Lord of the Rings: The Fellowship of the Ring,2001-12-23,"$15,915,778","$75,129,468"
The Lord of the Rings: The Fellowship of the Ring,2001-12-24,"$7,332,948","$82,462,416"
The Lord of the Rings: The Fellowship of the Ring,2001-12-25,"$11,570,303","$94,032,719"
The Lord of the Rings: The Fellowship of the Ring,2001-12-26,"$12,114,102","$106,146,821"
The Lord of the Rings: The Fellowship of the Ring,2001-12-27,"$11,020,009","$117,166,830"
The Lord of the Rings: The Fellowship of the Ring,2001-12-28,"$12,567,729","$129,734,559"
The Lord of the Rings: The Fellowship of the Ring,2001-12-29,"$13,998,713","$143,733,272"
The Lord of the Rings: The Fellowship of the Ring,2001-12-30,"$12,129,140","$155,862,412"
The Lord of the Rings: The Fellowship of the Ring,2001-12-31,"$8,008,803","$163,871,215"
The Lord of the Rings: The Fellowship of the Ring,2002-01-01,"$10,248,284","$174,119,499"
The Lord of the Rings: The Fellowship of the Ring,2002-01-02,"$4,616,413","$178,735,912"
The Lord of the Rings: The Fellowship of the Ring,2002-01-03,"$3,767,510","$182,503,422"
The Lord of the Rings: The Fellowship of the Ring,2002-01-04,"$6,783,240","$189,286,662"
The Lord of the Rings: The Fellowship of the Ring,2002-01-05,"$10,114,063","$199,400,725"
The Lord of the Rings: The Fellowship of the Ring,2002-01-06,"$6,109,144","$205,509,869"
The Lord of the Rings: The Fellowship of the Ring,2002-01-07,"$1,710,810","$207,220,679"
The Lord of the Rings: The Fellowship of the Ring,2002-01-08,"$1,978,472","$209,199,151"
The Lord of the Rings: The Fellowship of the Ring,2002-01-09,"$1,525,350","$210,724,501"
The Lord of the Rings: The Fellowship of the Ring,2002-01-10,"$1,395,114","$212,119,615"
The Lord of the Rings: The Fellowship of the Ring,2002-01-11,"$4,241,049","$216,360,664"
The Lord of the Rings: The Fellowship of the Ring,2002-01-12,"$7,268,117","$223,628,781"
The Lord of the Rings: The Fellowship of the Ring,2002-01-13,"$4,692,094","$228,320,875"
The Lord of the Rings: The Fellowship of the Ring,2002-01-14,"$1,137,194","$229,458,069"
The Lord of the Rings: The Fellowship of the Ring,2002-01-15,"$1,305,321","$230,763,390"
The Lord of the Rings: The Fellowship of the Ring,2002-01-16,"$1,084,897","$231,848,287"
The Lord of the Rings: The Fellowship of the Ring,2002-01-17,"$1,096,516","$232,944,803"
The Lord of the Rings: The Fellowship of the Ring,2002-01-18,"$3,202,058","$236,146,861"
The Lord of the Rings: The Fellowship of the Ring,2002-01-19,"$5,034,832","$241,181,693"
The Lord of the Rings: The Fellowship of the Ring,2002-01-20,"$4,236,858","$245,418,551"
The Lord of the Rings: The Fellowship of the Ring,2002-01-21,"$2,794,336","$248,212,887"
The Lord of the Rings: The Fellowship of the Ring,2002-01-22,"$912,320","$249,125,207"
The Lord of the Rings: The Fellowship of the Ring,2002-01-23,"$745,189","$249,870,396"
The Lord of the Rings: The Fellowship of the Ring,2002-01-24,"$775,801","$250,646,197"
The Lord of the Rings: The Fellowship of the Ring,2002-01-25,"$2,004,506","$252,650,703"
The Lord of the Rings: The Fellowship of the Ring,2002-01-26,"$3,757,311","$256,408,014"
The Lord of the Rings: The Fellowship of the Ring,2002-01-27,"$2,041,258","$258,449,272"
The Lord of the Rings: The Fellowship of the Ring,2002-01-28,"$523,053","$258,972,325"
The Lord of the Rings: The Fellowship of the Ring,2002-01-29,"$592,411","$259,564,736"
The Lord of the Rings: The Fellowship of the Ring,2002-01-30,"$500,779","$260,065,515"
The Lord of the Rings: The Fellowship of the Ring,2002-01-31,"$504,425","$260,569,940"
The Lord of the Rings: The Fellowship of the Ring,2002-02-01,"$1,491,287","$262,061,227"
The Lord of the Rings: The Fellowship of the Ring,2002-02-02,"$2,967,173","$265,028,400"
The Lord of the Rings: The Fellowship of the Ring,2002-02-03,"$1,245,799","$266,274,199"
The Lord of the Rings: The Fellowship of the Ring,2002-02-04,"$360,461","$266,634,660"
The Lord of the Rings: The Fellowship of the Ring,2002-02-05,"$416,435","$267,051,095"
The Lord of the Rings: The Fellowship of the Ring,2002-02-06,"$375,307","$267,426,402"
The Lord of the Rings: The Fellowship of the Ring,2002-02-07,"$372,120","$267,798,522"
The Lord of the Rings: The Fellowship of the Ring,2002-02-08,"$814,939","$268,613,461"
The Lord of the Rings: The Fellowship of the Ring,2002-02-09,"$1,673,838","$270,287,299"
The Lord of the Rings: The Fellowship of the Ring,2002-02-10,"$1,129,620","$271,416,919"
The Lord of the Rings: The Fellowship of the Ring,2002-02-11,"$261,120","$271,678,039"
The Lord of the Rings: The Fellowship of the Ring,2002-02-12,"$331,512","$272,009,551"
The Lord of the Rings: The Fellowship of the Ring,2002-02-13,"$325,662","$272,335,213"
The Lord of the Rings: The Fellowship of the Ring,2002-02-14,"$598,307","$272,933,520"
The Lord of the Rings: The Fellowship of the Ring,2002-02-15,"$1,048,972","$273,982,492"
The Lord of the Rings: The Fellowship of the Ring,2002-02-16,"$2,005,035","$275,987,527"
The Lord of the Rings: The Fellowship of the Ring,2002-02-17,"$1,647,844","$277,635,371"
The Lord of the Rings: The Fellowship of the Ring,2002-02-18,"$1,008,108","$278,643,479"
The Lord of the Rings: The Fellowship of the Ring,2002-02-19,"$409,956","$279,053,435"
The Lord of the Rings: The Fellowship of the Ring,2002-02-20,"$330,037","$279,383,472"
The Lord of the Rings: The Fellowship of the Ring,2002-02-21,"$349,752","$279,733,224"
The Lord of the Rings: The Fellowship of the Ring,2002-02-22,"$878,147","$280,611,371"
