Film name,Date,Daily Gross,Gross To Date
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,"$13,509,262","$13,509,262"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-10,"$10,486,019","$23,995,281"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-11,"$14,841,094","$38,836,375"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-12,"$17,414,693","$56,251,068"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-13,"$14,374,903","$70,625,971"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-14,"$7,504,567","$78,130,538"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-15,"$7,351,137","$85,481,675"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-16,"$7,056,602","$92,538,277"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-17,"$6,434,540","$98,972,817"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-18,"$10,505,198","$109,478,015"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-19,"$13,095,414","$122,573,429"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-20,"$10,433,985","$133,007,414"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-21,"$5,332,285","$138,339,699"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-22,"$5,449,233","$143,788,932"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-23,"$5,082,012","$148,870,944"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-24,"$4,831,182","$153,702,126"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-25,"$6,814,619","$160,516,745"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-26,"$8,965,800","$169,482,545"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-27,"$7,355,610","$176,838,155"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-28,"$3,582,589","$180,420,744"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-29,"$3,596,200","$184,016,944"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-30,"$3,274,773","$187,291,717"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-31,"$3,395,531","$190,687,248"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-01,"$5,651,711","$196,338,959"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-02,"$7,405,885","$203,744,844"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-03,"$5,786,448","$209,531,292"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-04,"$2,841,937","$212,373,229"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-05,"$2,747,535","$215,120,764"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-06,"$2,292,919","$217,413,683"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-07,"$2,314,476","$219,728,159"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-08,"$3,793,267","$223,521,426"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-09,"$5,282,869","$228,804,295"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-10,"$3,946,334","$232,750,629"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-11,"$1,834,934","$234,585,563"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-12,"$1,853,068","$236,438,631"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-13,"$1,651,802","$238,090,433"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-14,"$1,462,953","$239,553,386"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-15,"$2,563,415","$242,116,801"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-16,"$3,858,623","$245,975,424"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-17,"$2,745,561","$248,720,985"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-18,"$1,267,807","$249,988,792"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-19,"$1,308,204","$251,296,996"
Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-20,"$1,158,176","$252,455,172"
