Film name,Date,Daily Gross,Gross To Date
Star Wars: Episode I - The Phantom Menace,1999-05-19,"$28,542,349","$28,542,349"
Star Wars: Episode I - The Phantom Menace,1999-05-20,"$12,307,918","$40,840,267"
Star Wars: Episode I - The Phantom Menace,1999-05-21,"$18,467,513","$59,307,780"
Star Wars: Episode I - The Phantom Menace,1999-05-22,"$24,414,123","$83,721,903"
Star Wars: Episode I - The Phantom Menace,1999-05-23,"$21,929,334","$105,661,237"
Star Wars: Episode I - The Phantom Menace,1999-05-24,"$10,881,272","$116,542,509"
Star Wars: Episode I - The Phantom Menace,1999-05-25,"$8,181,275","$124,723,784"
Star Wars: Episode I - The Phantom Menace,1999-05-26,"$7,751,876","$132,475,660"
Star Wars: Episode I - The Phantom Menace,1999-05-27,"$7,719,100","$140,194,760"
Star Wars: Episode I - The Phantom Menace,1999-05-28,"$13,531,561","$153,726,321"
Star Wars: Episode I - The Phantom Menace,1999-05-29,"$19,330,780","$173,057,101"
Star Wars: Episode I - The Phantom Menace,1999-05-30,"$18,537,522","$191,594,623"
Star Wars: Episode I - The Phantom Menace,1999-05-31,"$15,504,435","$207,099,058"
Star Wars: Episode I - The Phantom Menace,1999-06-01,"$5,459,637","$212,558,695"
Star Wars: Episode I - The Phantom Menace,1999-06-02,"$5,295,848","$217,854,543"
Star Wars: Episode I - The Phantom Menace,1999-06-03,"$5,011,928","$222,866,471"
Star Wars: Episode I - The Phantom Menace,1999-06-04,"$8,413,783","$231,280,254"
Star Wars: Episode I - The Phantom Menace,1999-06-05,"$13,854,324","$245,134,578"
Star Wars: Episode I - The Phantom Menace,1999-06-06,"$10,623,546","$255,758,124"
Star Wars: Episode I - The Phantom Menace,1999-06-07,"$3,919,371","$259,677,495"
Star Wars: Episode I - The Phantom Menace,1999-06-08,"$4,002,249","$263,679,744"
Star Wars: Episode I - The Phantom Menace,1999-06-09,"$3,812,157","$267,491,901"
Star Wars: Episode I - The Phantom Menace,1999-06-10,"$3,840,149","$271,332,050"
Star Wars: Episode I - The Phantom Menace,1999-06-11,"$6,695,326","$278,027,376"
Star Wars: Episode I - The Phantom Menace,1999-06-12,"$10,555,346","$288,582,722"
Star Wars: Episode I - The Phantom Menace,1999-06-13,"$8,382,189","$296,964,911"
Star Wars: Episode I - The Phantom Menace,1999-06-14,"$3,025,265","$299,990,176"
Star Wars: Episode I - The Phantom Menace,1999-06-15,"$3,071,497","$303,061,673"
Star Wars: Episode I - The Phantom Menace,1999-06-16,"$2,969,009","$306,030,682"
Star Wars: Episode I - The Phantom Menace,1999-06-17,"$3,183,166","$309,213,848"
Star Wars: Episode I - The Phantom Menace,1999-06-18,"$4,699,723","$313,913,571"
Star Wars: Episode I - The Phantom Menace,1999-06-19,"$7,338,491","$321,252,062"
Star Wars: Episode I - The Phantom Menace,1999-06-20,"$6,820,807","$328,072,869"
Star Wars: Episode I - The Phantom Menace,1999-06-21,"$2,370,597","$330,443,466"
Star Wars: Episode I - The Phantom Menace,1999-06-22,"$2,418,332","$332,861,798"
Star Wars: Episode I - The Phantom Menace,1999-06-23,"$2,226,475","$335,088,273"
Star Wars: Episode I - The Phantom Menace,1999-06-24,"$2,469,489","$337,557,762"
Star Wars: Episode I - The Phantom Menace,1999-06-25,"$3,800,296","$341,358,058"
Star Wars: Episode I - The Phantom Menace,1999-06-26,"$5,790,418","$347,148,476"
Star Wars: Episode I - The Phantom Menace,1999-06-27,"$4,521,205","$351,669,681"
Star Wars: Episode I - The Phantom Menace,1999-06-28,"$2,110,404","$353,780,085"
Star Wars: Episode I - The Phantom Menace,1999-06-29,"$2,240,972","$356,021,057"
Star Wars: Episode I - The Phantom Menace,1999-06-30,"$1,739,756","$357,760,813"
Star Wars: Episode I - The Phantom Menace,1999-07-01,"$2,114,498","$359,875,311"
Star Wars: Episode I - The Phantom Menace,1999-07-02,"$2,891,123","$362,766,434"
Star Wars: Episode I - The Phantom Menace,1999-07-03,"$3,852,394","$366,618,828"
Star Wars: Episode I - The Phantom Menace,1999-07-04,"$2,796,865","$369,415,693"
Star Wars: Episode I - The Phantom Menace,1999-07-05,"$3,751,277","$373,166,970"
Star Wars: Episode I - The Phantom Menace,1999-07-06,"$1,722,948","$374,889,918"
Star Wars: Episode I - The Phantom Menace,1999-07-07,"$1,382,953","$376,272,871"
Star Wars: Episode I - The Phantom Menace,1999-07-08,"$1,420,105","$377,692,976"
Star Wars: Episode I - The Phantom Menace,1999-07-09,"$2,071,187","$379,764,163"
Star Wars: Episode I - The Phantom Menace,1999-07-10,"$3,174,114","$382,938,277"
Star Wars: Episode I - The Phantom Menace,1999-07-11,"$2,246,096","$385,184,373"
Star Wars: Episode I - The Phantom Menace,1999-07-12,"$1,065,109","$386,249,482"
Star Wars: Episode I - The Phantom Menace,1999-07-13,"$1,215,923","$387,465,405"
Star Wars: Episode I - The Phantom Menace,1999-07-14,"$1,059,741","$388,525,146"
Star Wars: Episode I - The Phantom Menace,1999-07-15,"$1,028,463","$389,553,609"
Star Wars: Episode I - The Phantom Menace,1999-07-16,"$1,466,464","$391,020,073"
Star Wars: Episode I - The Phantom Menace,1999-07-17,"$2,391,709","$393,411,782"
Star Wars: Episode I - The Phantom Menace,1999-07-18,"$1,789,468","$395,201,250"
Star Wars: Episode I - The Phantom Menace,1999-07-19,"$847,947","$396,049,197"
Star Wars: Episode I - The Phantom Menace,1999-07-20,"$886,028","$396,935,225"
Star Wars: Episode I - The Phantom Menace,1999-07-21,"$813,552","$397,748,777"
Star Wars: Episode I - The Phantom Menace,1999-07-22,"$824,849","$398,573,626"
Star Wars: Episode I - The Phantom Menace,1999-07-23,"$1,061,227","$399,634,853"
Star Wars: Episode I - The Phantom Menace,1999-07-24,"$1,803,325","$401,438,178"
Star Wars: Episode I - The Phantom Menace,1999-07-25,"$1,332,548","$402,770,726"
Star Wars: Episode I - The Phantom Menace,1999-07-26,"$586,415","$403,357,141"
Star Wars: Episode I - The Phantom Menace,1999-07-27,"$648,692","$404,005,833"
Star Wars: Episode I - The Phantom Menace,1999-07-28,"$568,065","$404,573,895"
Star Wars: Episode I - The Phantom Menace,1999-07-29,"$602,414","$405,176,312"
Star Wars: Episode I - The Phantom Menace,1999-07-30,"$911,124","$406,087,436"
Star Wars: Episode I - The Phantom Menace,1999-07-31,"$1,420,309","$407,507,745"
Star Wars: Episode I - The Phantom Menace,1999-08-01,"$1,089,287","$408,597,032"
Star Wars: Episode I - The Phantom Menace,1999-08-02,"$487,362","$409,084,394"
Star Wars: Episode I - The Phantom Menace,1999-08-03,"$506,142","$409,590,536"
Star Wars: Episode I - The Phantom Menace,1999-08-04,"$486,393","$410,076,929"
Star Wars: Episode I - The Phantom Menace,1999-08-05,"$475,024","$410,551,953"
Star Wars: Episode I - The Phantom Menace,1999-08-06,"$584,352","$411,136,305"
Star Wars: Episode I - The Phantom Menace,1999-08-07,"$880,976","$412,017,281"
Star Wars: Episode I - The Phantom Menace,1999-08-08,"$757,870","$412,775,151"
Star Wars: Episode I - The Phantom Menace,1999-08-09,"$303,048","$413,078,199"
Star Wars: Episode I - The Phantom Menace,1999-08-10,"$376,083","$413,454,282"
Star Wars: Episode I - The Phantom Menace,1999-08-11,"$334,948","$413,789,230"
Star Wars: Episode I - The Phantom Menace,1999-08-12,"$337,475","$414,126,705"
Star Wars: Episode I - The Phantom Menace,1999-08-13,"$409,863","$414,536,568"
Star Wars: Episode I - The Phantom Menace,1999-08-14,"$635,846","$415,172,414"
Star Wars: Episode I - The Phantom Menace,1999-08-15,"$472,898","$415,645,312"
Star Wars: Episode I - The Phantom Menace,1999-08-16,"$214,544","$415,859,856"
Star Wars: Episode I - The Phantom Menace,1999-08-17,"$252,192","$416,112,048"
Star Wars: Episode I - The Phantom Menace,1999-08-18,"$237,863","$416,349,911"
Star Wars: Episode I - The Phantom Menace,1999-08-19,"$229,581","$416,579,492"
Star Wars: Episode I - The Phantom Menace,1999-08-20,"$327,388","$416,906,880"
Star Wars: Episode I - The Phantom Menace,1999-08-21,"$523,781","$417,430,661"
Star Wars: Episode I - The Phantom Menace,1999-08-22,"$370,236","$417,800,897"
Star Wars: Episode I - The Phantom Menace,1999-08-23,"$168,528","$417,969,425"
Star Wars: Episode I - The Phantom Menace,1999-08-24,"$196,111","$418,165,536"
Star Wars: Episode I - The Phantom Menace,1999-08-25,"$171,999","$418,337,535"
Star Wars: Episode I - The Phantom Menace,1999-08-26,"$176,186","$418,513,721"
Star Wars: Episode I - The Phantom Menace,1999-08-27,"$253,762","$418,767,483"
Star Wars: Episode I - The Phantom Menace,1999-08-28,"$387,160","$419,154,643"
Star Wars: Episode I - The Phantom Menace,1999-08-29,"$269,324","$419,423,967"
Star Wars: Episode I - The Phantom Menace,1999-08-30,"$102,825","$419,526,792"
Star Wars: Episode I - The Phantom Menace,1999-08-31,"$120,465","$419,647,257"
Star Wars: Episode I - The Phantom Menace,1999-09-01,"$99,085","$419,746,342"
Star Wars: Episode I - The Phantom Menace,1999-09-02,"$100,554","$419,846,896"
Star Wars: Episode I - The Phantom Menace,1999-09-03,"$243,432","$420,090,328"
Star Wars: Episode I - The Phantom Menace,1999-09-04,"$429,811","$420,520,139"
Star Wars: Episode I - The Phantom Menace,1999-09-05,"$475,599","$420,995,738"
Star Wars: Episode I - The Phantom Menace,1999-09-06,"$386,018","$421,381,756"
Star Wars: Episode I - The Phantom Menace,1999-09-07,"$82,259","$421,464,015"
Star Wars: Episode I - The Phantom Menace,1999-09-08,"$70,672","$421,534,687"
Star Wars: Episode I - The Phantom Menace,1999-09-09,"$64,987","$421,599,674"
Star Wars: Episode I - The Phantom Menace,1999-09-10,"$163,208","$421,762,882"
Star Wars: Episode I - The Phantom Menace,1999-09-11,"$316,138","$422,079,020"
Star Wars: Episode I - The Phantom Menace,1999-09-12,"$173,978","$422,252,998"
Star Wars: Episode I - The Phantom Menace,1999-09-13,"$50,306","$422,303,304"
Star Wars: Episode I - The Phantom Menace,1999-09-14,"$60,255","$422,363,559"
Star Wars: Episode I - The Phantom Menace,1999-09-15,"$59,044","$422,422,603"
Star Wars: Episode I - The Phantom Menace,1999-09-16,"$77,116","$422,499,719"
Star Wars: Episode I - The Phantom Menace,1999-09-17,"$200,247","$422,699,966"
Star Wars: Episode I - The Phantom Menace,1999-09-18,"$363,629","$423,063,595"
Star Wars: Episode I - The Phantom Menace,1999-09-19,"$235,493","$423,299,088"
Star Wars: Episode I - The Phantom Menace,1999-09-20,"$76,168","$423,375,256"
Star Wars: Episode I - The Phantom Menace,1999-09-21,"$80,558","$423,455,814"
Star Wars: Episode I - The Phantom Menace,1999-09-22,"$69,119","$423,524,933"
Star Wars: Episode I - The Phantom Menace,1999-09-23,"$72,862","$423,597,795"
Star Wars: Episode I - The Phantom Menace,1999-09-24,"$211,685","$423,809,480"
Star Wars: Episode I - The Phantom Menace,1999-09-25,"$369,341","$424,178,821"
Star Wars: Episode I - The Phantom Menace,1999-09-26,"$220,909","$424,399,730"
Star Wars: Episode I - The Phantom Menace,1999-09-27,"$66,541","$424,466,271"
Star Wars: Episode I - The Phantom Menace,1999-09-28,"$70,671","$424,536,942"
Star Wars: Episode I - The Phantom Menace,1999-09-29,"$61,189","$424,598,131"
Star Wars: Episode I - The Phantom Menace,1999-09-30,"$65,057","$424,663,188"
Star Wars: Episode I - The Phantom Menace,1999-10-01,"$174,330","$424,837,518"
Star Wars: Episode I - The Phantom Menace,1999-10-02,"$320,678","$425,158,196"
Star Wars: Episode I - The Phantom Menace,1999-10-03,"$202,089","$425,360,285"
Star Wars: Episode I - The Phantom Menace,1999-10-04,"$55,386","$425,415,671"
Star Wars: Episode I - The Phantom Menace,1999-10-05,"$61,242","$425,476,913"
Star Wars: Episode I - The Phantom Menace,1999-10-06,"$58,937","$425,535,850"
Star Wars: Episode I - The Phantom Menace,1999-10-07,"$67,758","$425,603,608"
Star Wars: Episode I - The Phantom Menace,1999-10-08,"$139,788","$425,743,396"
Star Wars: Episode I - The Phantom Menace,1999-10-09,"$239,024","$425,982,420"
Star Wars: Episode I - The Phantom Menace,1999-10-10,"$159,394","$426,141,814"
Star Wars: Episode I - The Phantom Menace,1999-10-11,"$90,028","$426,231,842"
Star Wars: Episode I - The Phantom Menace,1999-10-12,"$52,780","$426,284,622"
Star Wars: Episode I - The Phantom Menace,1999-10-13,"$45,722","$426,330,344"
Star Wars: Episode I - The Phantom Menace,1999-10-14,"$52,203","$426,382,547"
Star Wars: Episode I - The Phantom Menace,1999-10-15,"$109,312","$426,491,859"
Star Wars: Episode I - The Phantom Menace,1999-10-16,"$198,226","$426,690,085"
Star Wars: Episode I - The Phantom Menace,1999-10-17,"$127,966","$426,818,051"
Star Wars: Episode I - The Phantom Menace,1999-10-18,"$38,079","$426,856,130"
Star Wars: Episode I - The Phantom Menace,1999-10-19,"$35,037","$426,891,167"
Star Wars: Episode I - The Phantom Menace,1999-10-20,"$33,340","$426,924,507"
Star Wars: Episode I - The Phantom Menace,1999-10-21,"$37,923","$426,962,430"
Star Wars: Episode I - The Phantom Menace,1999-10-22,"$83,647","$427,046,077"
Star Wars: Episode I - The Phantom Menace,1999-10-23,"$149,410","$427,195,487"
Star Wars: Episode I - The Phantom Menace,1999-10-24,"$89,613","$427,285,100"
Star Wars: Episode I - The Phantom Menace,1999-10-25,"$26,168","$427,311,268"
Star Wars: Episode I - The Phantom Menace,1999-10-26,"$24,731","$427,335,999"
Star Wars: Episode I - The Phantom Menace,1999-10-27,"$22,725","$427,358,724"
Star Wars: Episode I - The Phantom Menace,1999-10-28,"$26,549","$427,385,273"
Star Wars: Episode I - The Phantom Menace,1999-10-29,"$61,687","$427,446,960"
Star Wars: Episode I - The Phantom Menace,1999-10-30,"$105,083","$427,552,043"
Star Wars: Episode I - The Phantom Menace,1999-10-31,"$55,826","$427,607,869"
Star Wars: Episode I - The Phantom Menace,1999-11-01,"$22,414","$427,630,283"
Star Wars: Episode I - The Phantom Menace,1999-11-02,"$25,106","$427,655,389"
Star Wars: Episode I - The Phantom Menace,1999-11-03,"$24,790","$427,680,179"
Star Wars: Episode I - The Phantom Menace,1999-11-04,"$29,616","$427,709,795"
Star Wars: Episode II - Attack of the Clones,2002-05-16,"$30,141,471","$30,141,471"
Star Wars: Episode II - Attack of the Clones,2002-05-17,"$24,404,757","$54,546,228"
Star Wars: Episode II - Attack of the Clones,2002-05-18,"$31,253,618","$85,799,846"
Star Wars: Episode II - Attack of the Clones,2002-05-19,"$24,369,439","$110,169,285"
Star Wars: Episode II - Attack of the Clones,2002-05-20,"$10,660,341","$120,829,626"
Star Wars: Episode II - Attack of the Clones,2002-05-21,"$7,502,796","$128,332,422"
Star Wars: Episode II - Attack of the Clones,2002-05-22,"$6,536,835","$134,869,257"
Star Wars: Episode II - Attack of the Clones,2002-05-23,"$6,436,564","$141,305,821"
Star Wars: Episode II - Attack of the Clones,2002-05-24,"$12,787,965","$154,093,786"
Star Wars: Episode II - Attack of the Clones,2002-05-25,"$18,560,664","$172,654,450"
Star Wars: Episode II - Attack of the Clones,2002-05-26,"$16,531,903","$189,186,353"
Star Wars: Episode II - Attack of the Clones,2002-05-27,"$12,123,417","$201,309,770"
Star Wars: Episode II - Attack of the Clones,2002-05-28,"$3,543,646","$204,853,416"
Star Wars: Episode II - Attack of the Clones,2002-05-29,"$3,196,283","$208,049,699"
Star Wars: Episode II - Attack of the Clones,2002-05-30,"$3,272,248","$211,321,947"
Star Wars: Episode II - Attack of the Clones,2002-05-31,"$5,363,111","$216,685,058"
Star Wars: Episode II - Attack of the Clones,2002-06-01,"$9,151,511","$225,836,569"
Star Wars: Episode II - Attack of the Clones,2002-06-02,"$6,488,254","$232,324,823"
Star Wars: Episode II - Attack of the Clones,2002-06-03,"$2,215,127","$234,539,950"
Star Wars: Episode II - Attack of the Clones,2002-06-04,"$2,278,712","$236,818,662"
Star Wars: Episode II - Attack of the Clones,2002-06-05,"$2,104,451","$238,923,113"
Star Wars: Episode II - Attack of the Clones,2002-06-06,"$2,171,580","$241,094,693"
Star Wars: Episode II - Attack of the Clones,2002-06-07,"$3,909,079","$245,003,772"
Star Wars: Episode II - Attack of the Clones,2002-06-08,"$5,703,860","$250,707,632"
Star Wars: Episode II - Attack of the Clones,2002-06-09,"$4,398,774","$255,106,406"
Star Wars: Episode II - Attack of the Clones,2002-06-10,"$1,483,308","$256,589,714"
Star Wars: Episode II - Attack of the Clones,2002-06-11,"$1,654,676","$258,244,390"
Star Wars: Episode II - Attack of the Clones,2002-06-12,"$1,495,286","$259,739,676"
Star Wars: Episode II - Attack of the Clones,2002-06-13,"$1,574,248","$261,313,924"
Star Wars: Episode II - Attack of the Clones,2002-06-14,"$2,409,444","$263,723,368"
Star Wars: Episode II - Attack of the Clones,2002-06-15,"$3,720,291","$267,443,659"
Star Wars: Episode II - Attack of the Clones,2002-06-16,"$3,308,872","$270,752,531"
Star Wars: Episode II - Attack of the Clones,2002-06-17,"$1,009,946","$271,762,477"
Star Wars: Episode II - Attack of the Clones,2002-06-18,"$1,028,620","$272,791,097"
Star Wars: Episode II - Attack of the Clones,2002-06-19,"$960,783","$273,751,880"
Star Wars: Episode II - Attack of the Clones,2002-06-20,"$925,857","$274,677,737"
Star Wars: Episode II - Attack of the Clones,2002-06-21,"$1,395,286","$276,073,023"
Star Wars: Episode II - Attack of the Clones,2002-06-22,"$2,107,463","$278,180,486"
Star Wars: Episode II - Attack of the Clones,2002-06-23,"$1,648,280","$279,828,766"
Star Wars: Episode II - Attack of the Clones,2002-06-24,"$661,419","$280,490,185"
Star Wars: Episode II - Attack of the Clones,2002-06-25,"$702,441","$281,192,626"
Star Wars: Episode II - Attack of the Clones,2002-06-26,"$691,033","$281,883,659"
Star Wars: Episode II - Attack of the Clones,2002-06-27,"$701,935","$282,585,594"
Star Wars: Episode II - Attack of the Clones,2002-06-28,"$982,944","$283,568,538"
Star Wars: Episode II - Attack of the Clones,2002-06-29,"$1,459,332","$285,027,870"
Star Wars: Episode II - Attack of the Clones,2002-06-30,"$1,226,017","$286,253,887"
Star Wars: Episode II - Attack of the Clones,2002-07-01,"$654,122","$286,908,009"
Star Wars: Episode II - Attack of the Clones,2002-07-02,"$621,179","$287,529,188"
Star Wars: Episode II - Attack of the Clones,2002-07-03,"$632,263","$288,161,451"
Star Wars: Episode II - Attack of the Clones,2002-07-04,"$685,346","$288,846,797"
Star Wars: Episode II - Attack of the Clones,2002-07-05,"$833,161","$289,679,958"
Star Wars: Episode II - Attack of the Clones,2002-07-06,"$900,137","$290,580,095"
Star Wars: Episode II - Attack of the Clones,2002-07-07,"$717,356","$291,297,451"
Star Wars: Episode II - Attack of the Clones,2002-07-08,"$286,288","$291,583,739"
Star Wars: Episode II - Attack of the Clones,2002-07-09,"$324,884","$291,908,623"
Star Wars: Episode II - Attack of the Clones,2002-07-10,"$308,657","$292,217,280"
Star Wars: Episode II - Attack of the Clones,2002-07-11,"$318,421","$292,535,701"
Star Wars: Episode II - Attack of the Clones,2002-07-12,"$337,796","$292,873,497"
Star Wars: Episode II - Attack of the Clones,2002-07-13,"$528,109","$293,401,606"
Star Wars: Episode II - Attack of the Clones,2002-07-14,"$415,852","$293,817,458"
Star Wars: Episode II - Attack of the Clones,2002-07-15,"$179,897","$293,997,355"
Star Wars: Episode II - Attack of the Clones,2002-07-16,"$205,466","$294,202,821"
Star Wars: Episode II - Attack of the Clones,2002-07-17,"$191,687","$294,394,508"
Star Wars: Episode II - Attack of the Clones,2002-07-18,"$206,465","$294,600,973"
Star Wars: Episode II - Attack of the Clones,2002-07-19,"$283,909","$294,884,882"
Star Wars: Episode II - Attack of the Clones,2002-07-20,"$408,320","$295,293,202"
Star Wars: Episode II - Attack of the Clones,2002-07-21,"$328,409","$295,621,611"
Star Wars: Episode II - Attack of the Clones,2002-07-22,"$145,248","$295,766,859"
Star Wars: Episode II - Attack of the Clones,2002-07-23,"$158,005","$295,924,864"
Star Wars: Episode II - Attack of the Clones,2002-07-24,"$142,925","$296,067,789"
Star Wars: Episode II - Attack of the Clones,2002-07-25,"$137,678","$296,205,467"
Star Wars: Episode II - Attack of the Clones,2002-07-26,"$210,083","$296,415,550"
Star Wars: Episode II - Attack of the Clones,2002-07-27,"$316,855","$296,732,405"
Star Wars: Episode II - Attack of the Clones,2002-07-28,"$244,217","$296,976,622"
Star Wars: Episode II - Attack of the Clones,2002-07-29,"$113,358","$297,089,980"
Star Wars: Episode II - Attack of the Clones,2002-07-30,"$132,101","$297,222,081"
Star Wars: Episode II - Attack of the Clones,2002-07-31,"$126,814","$297,348,895"
Star Wars: Episode II - Attack of the Clones,2002-08-01,"$131,658","$297,480,553"
Star Wars: Episode II - Attack of the Clones,2002-08-02,"$171,342","$297,651,895"
Star Wars: Episode II - Attack of the Clones,2002-08-03,"$246,811","$297,898,706"
Star Wars: Episode II - Attack of the Clones,2002-08-04,"$206,170","$298,104,876"
Star Wars: Episode II - Attack of the Clones,2002-08-05,"$112,105","$298,216,981"
Star Wars: Episode II - Attack of the Clones,2002-08-06,"$105,670","$298,322,651"
Star Wars: Episode II - Attack of the Clones,2002-08-07,"$86,624","$298,409,275"
Star Wars: Episode II - Attack of the Clones,2002-08-08,"$87,734","$298,497,009"
Star Wars: Episode II - Attack of the Clones,2002-08-09,"$99,125","$298,596,134"
Star Wars: Episode II - Attack of the Clones,2002-08-10,"$142,264","$298,738,398"
Star Wars: Episode II - Attack of the Clones,2002-08-11,"$105,492","$298,843,890"
Star Wars: Episode II - Attack of the Clones,2002-08-12,"$52,229","$298,896,119"
Star Wars: Episode II - Attack of the Clones,2002-08-13,"$61,020","$298,957,139"
Star Wars: Episode II - Attack of the Clones,2002-08-14,"$59,506","$299,016,645"
Star Wars: Episode II - Attack of the Clones,2002-08-15,"$58,707","$299,075,352"
Star Wars: Episode II - Attack of the Clones,2002-08-16,"$96,894","$299,172,246"
Star Wars: Episode II - Attack of the Clones,2002-08-17,"$137,697","$299,309,943"
Star Wars: Episode II - Attack of the Clones,2002-08-18,"$91,922","$299,401,865"
Star Wars: Episode II - Attack of the Clones,2002-08-19,"$50,036","$299,451,901"
Star Wars: Episode II - Attack of the Clones,2002-08-20,"$53,477","$299,505,378"
Star Wars: Episode II - Attack of the Clones,2002-08-21,"$45,454","$299,550,832"
Star Wars: Episode II - Attack of the Clones,2002-08-22,"$51,289","$299,602,121"
Star Wars: Episode II - Attack of the Clones,2002-08-23,"$90,974","$299,693,095"
Star Wars: Episode II - Attack of the Clones,2002-08-24,"$136,982","$299,830,077"
