Film name,Date,Daily Gross,Gross To Date
The Fast and the Furious,2001-06-22,"$15,214,995","$15,214,995"
The Fast and the Furious,2001-06-23,"$13,810,140","$29,025,135"
The Fast and the Furious,2001-06-24,"$11,063,880","$40,089,015"
The Fast and the Furious,2001-06-25,"$5,203,440","$45,292,455"
The Fast and the Furious,2001-06-26,"$4,743,540","$50,035,995"
The Fast and the Furious,2001-06-27,"$4,007,895","$54,043,890"
The Fast and the Furious,2001-06-28,"$3,771,180","$57,815,070"
The Fast and the Furious,2001-06-29,"$6,548,815","$64,363,885"
The Fast and the Furious,2001-06-30,"$7,352,095","$71,715,980"
The Fast and the Furious,2001-07-01,"$6,153,980","$77,869,960"
The Fast and the Furious,2001-07-02,"$3,008,915","$80,878,875"
The Fast and the Furious,2001-07-03,"$3,131,450","$84,010,325"
The Fast and the Furious,2001-07-04,"$2,641,310","$86,651,635"
The Fast and the Furious,2001-07-05,"$2,450,685","$89,102,320"
The Fast and the Furious,2001-07-06,"$4,043,110","$93,145,430"
The Fast and the Furious,2001-07-07,"$4,532,760","$97,678,190"
The Fast and the Furious,2001-07-08,"$3,707,350","$101,385,540"
The Fast and the Furious,2001-07-09,"$1,580,870","$102,966,410"
The Fast and the Furious,2001-07-10,"$1,720,770","$104,687,180"
The Fast and the Furious,2001-07-11,"$1,454,960","$106,142,140"
The Fast and the Furious,2001-07-12,"$1,385,010","$107,527,150"
The Fast and the Furious,2001-07-13,"$2,623,595","$110,150,745"
The Fast and the Furious,2001-07-14,"$3,145,415","$113,296,160"
The Fast and the Furious,2001-07-15,"$2,319,185","$115,615,345"
The Fast and the Furious,2001-07-16,"$1,101,565","$116,716,910"
The Fast and the Furious,2001-07-17,"$1,231,455","$117,948,365"
The Fast and the Furious,2001-07-18,"$956,670","$118,905,035"
The Fast and the Furious,2001-07-19,"$854,995","$119,760,030"
The Fast and the Furious,2001-07-20,"$1,693,840","$121,453,870"
The Fast and the Furious,2001-07-21,"$2,117,295","$123,571,165"
The Fast and the Furious,2001-07-22,"$1,516,260","$125,087,425"
The Fast and the Furious,2001-07-23,"$819,595","$125,907,020"
The Fast and the Furious,2001-07-24,"$873,425","$126,780,445"
The Fast and the Furious,2001-07-25,"$792,280","$127,572,725"
The Fast and the Furious,2001-07-26,"$819,600","$128,392,325"
The Fast and the Furious,2001-07-27,"$1,311,750","$129,704,075"
The Fast and the Furious,2001-07-28,"$1,609,875","$131,313,950"
The Fast and the Furious,2001-07-29,"$1,168,650","$132,482,600"
The Fast and the Furious,2001-07-30,"$583,995","$133,066,595"
The Fast and the Furious,2001-07-31,"$632,025","$133,698,620"
The Fast and the Furious,2001-08-01,"$572,395","$134,271,015"
The Fast and the Furious,2001-08-02,"$572,335","$134,843,350"
The Fast and the Furious,2001-08-03,"$712,825","$135,556,175"
The Fast and the Furious,2001-08-04,"$842,395","$136,398,570"
