Film name,Date,Daily Gross,Gross To Date
Harry Potter and the Sorcerer's Stone,2001-11-16,"$32,333,203","$32,333,203"
Harry Potter and the Sorcerer's Stone,2001-11-17,"$33,512,941","$65,846,144"
Harry Potter and the Sorcerer's Stone,2001-11-18,"$24,448,477","$90,294,621"
Harry Potter and the Sorcerer's Stone,2001-11-19,"$6,642,702","$96,937,323"
Harry Potter and the Sorcerer's Stone,2001-11-20,"$7,653,569","$104,590,892"
Harry Potter and the Sorcerer's Stone,2001-11-21,"$12,642,000","$117,232,892"
Harry Potter and the Sorcerer's Stone,2001-11-22,"$12,258,000","$129,490,758"
Harry Potter and the Sorcerer's Stone,2001-11-23,"$22,987,000","$152,477,758"
Harry Potter and the Sorcerer's Stone,2001-11-24,"$21,088,000","$173,565,758"
Harry Potter and the Sorcerer's Stone,2001-11-25,"$13,413,000","$186,978,513"
Harry Potter and the Sorcerer's Stone,2001-11-26,"$2,526,000","$189,504,513"
Harry Potter and the Sorcerer's Stone,2001-11-27,"$2,383,000","$191,887,513"
Harry Potter and the Sorcerer's Stone,2001-11-28,"$2,066,000","$193,953,513"
Harry Potter and the Sorcerer's Stone,2001-11-29,"$2,073,000","$196,027,962"
Harry Potter and the Sorcerer's Stone,2001-11-30,"$6,082,000","$202,109,962"
Harry Potter and the Sorcerer's Stone,2001-12-01,"$10,519,000","$212,628,962"
Harry Potter and the Sorcerer's Stone,2001-12-02,"$7,121,000","$219,670,289"
Harry Potter and the Sorcerer's Stone,2001-12-03,"$1,261,000","$220,931,289"
Harry Potter and the Sorcerer's Stone,2001-12-04,"$1,411,000","$222,342,289"
Harry Potter and the Sorcerer's Stone,2001-12-05,"$1,305,000","$223,647,289"
Harry Potter and the Sorcerer's Stone,2001-12-06,"$1,236,000","$224,921,846"
Harry Potter and the Sorcerer's Stone,2001-12-07,"$3,795,000","$228,716,846"
Harry Potter and the Sorcerer's Stone,2001-12-08,"$6,609,000","$235,325,846"
Harry Potter and the Sorcerer's Stone,2001-12-09,"$4,424,000","$239,659,542"
Harry Potter and the Sorcerer's Stone,2001-12-10,"$868,000","$240,527,542"
Harry Potter and the Sorcerer's Stone,2001-12-11,"$1,031,000","$241,558,542"
Harry Potter and the Sorcerer's Stone,2001-12-12,"$889,000","$242,447,542"
Harry Potter and the Sorcerer's Stone,2001-12-13,"$902,000","$243,349,983"
