YYYYMM,One Dollar Value
199901,1.54
199902,1.54
199903,1.53
199904,1.52
199905,1.52
199906,1.52
199907,1.52
199908,1.51
199909,1.51
199910,1.50
199911,1.50
199912,1.50
200001,1.50
200002,1.49
200003,1.48
200004,1.48
200005,1.47
200006,1.47
200007,1.46
200008,1.46
200009,1.46
200010,1.45
200011,1.45
200012,1.45
200101,1.44
200102,1.44
200103,1.43
200104,1.43
200105,1.42
200106,1.42
200107,1.42
200108,1.42
200109,1.42
200110,1.42
200111,1.42
200112,1.43
200201,1.43
200202,1.42
200203,1.41
200204,1.41
200205,1.41
200206,1.41
200207,1.40
200208,1.40
200209,1.40
200210,1.39
200211,1.39
200212,1.40
200301,1.39
200302,1.38
200303,1.37
200304,1.38
200305,1.38
200306,1.38
200307,1.37
200308,1.37
200309,1.36
200310,1.37
200311,1.37
200312,1.37
200401,1.36
200402,1.36
200403,1.35
200404,1.34
200405,1.34
200406,1.33
200407,1.33
200408,1.33
200409,1.33
200410,1.32
200411,1.32
200412,1.33
200501,1.33
200502,1.32
200503,1.31
200504,1.30
200505,1.30
200506,1.30
200507,1.29
200508,1.29
200509,1.27
200510,1.27
200511,1.28
200512,1.28
200601,1.27
200602,1.27
200603,1.27
200604,1.25
200605,1.25
200606,1.25
200607,1.24
200608,1.24
200609,1.25
200610,1.25
200611,1.25
200612,1.25
200701,1.25
200702,1.24
200703,1.23
200704,1.22
200705,1.22
200706,1.21
200707,1.21
200708,1.22
200709,1.21
200710,1.21
200711,1.20
200712,1.20
200801,1.20
200802,1.19
200803,1.18
200804,1.18
200805,1.17
200806,1.16
200807,1.15
200808,1.15
200809,1.16
200810,1.17
200811,1.19
200812,1.20
200901,1.20
200902,1.19
200903,1.19
200904,1.19
200905,1.18
200906,1.17
200907,1.17
200908,1.17
200909,1.17
200910,1.17
200911,1.17
200912,1.17
201001,1.17
201002,1.17
201003,1.16
201004,1.16
201005,1.16
201006,1.16
201007,1.16
201008,1.16
201009,1.16
201010,1.16
201011,1.16
201012,1.15
201101,1.15
201102,1.14
201103,1.13
201104,1.12
201105,1.12
201106,1.12
201107,1.12
201108,1.12
201109,1.11
201110,1.12
201111,1.12
201112,1.12
201201,1.12
201202,1.11
201203,1.10
201204,1.10
201205,1.10
201206,1.10
201207,1.10
201208,1.10
201209,1.09
201210,1.09
201211,1.10
201212,1.10
201301,1.10
201302,1.09
201303,1.09
201304,1.09
201305,1.09
201306,1.08
201307,1.08
201308,1.08
201309,1.08
201310,1.08
201311,1.08
201312,1.08
201401,1.08
201402,1.08
201403,1.07
201404,1.07
201405,1.06
201406,1.06
201407,1.06
201408,1.06
201409,1.06
201410,1.06
201411,1.07
201412,1.08
201501,1.08
201502,1.08
201503,1.07
201504,1.07
201505,1.06
201506,1.06
201507,1.06
201508,1.06
201509,1.06
201510,1.06
201511,1.07
201512,1.07
201601,1.07
201602,1.07
201603,1.06
201604,1.06
201605,1.05
201606,1.05
201607,1.05
201608,1.05
201609,1.05
201610,1.05
201611,1.05
201612,1.05
201701,1.04
201702,1.04
201703,1.04
201704,1.03
201705,1.03
201706,1.03
201707,1.03
201708,1.03
201709,1.02
201710,1.02
201711,1.02
201712,1.03
201801,1.02
201802,1.02
201803,1.01
201804,1.01
201805,1.00
201806,1.00
201807,1.00
201808,1.00
201809,1.00
201810,1.00
201811,1.00
201812,1.01
201901,1.00
201902,1.00
